지점정보,경도,위도,강수량(mm)
속초(90),128.56473,38.25085,110.5
철원(95),127.3042,38.14787,278.1
대관령(100),128.758698,37.686924,181.8
춘천(101),127.7357,37.90262,213.1
강릉(105),128.89099,37.75147,154.5
서울(108),126.9657917,37.57141111,283.5
인천(112),126.62436,37.47759,230.6
원주(114),127.94659,37.33749,200.7
울릉도(115),130.89863,37.48129,41.8
관악산(116),126.963921,37.444233,338.7
수원(119),126.98533,37.27226,290.4
충주(127),127.9525,36.97045,228.6
서산(129),126.4939,36.77658,242.5
울진(130),129.41278,36.99176,127.8
청주(131),127.44066,36.63924,247.9
대전(133),127.37211,36.37198,215
추풍령(135),127.99458,36.22025,126.6
안동(136),128.70733,36.57293,103.4
포항(138),129.38002,36.03201,91.7
군산(140),126.705696,35.992958,156.3
대구(143),128.6522,35.828233,136.7
전주(146),127.15496,35.8215,170.1
울산(152),129.32026,35.56014,58.4
마산(155),128.56517,35.190289,52
광주(156),126.89156,35.17294,284.9
부산(159),129.03203,35.10468,48.3
통영(162),128.43561,34.84541,59.5
목포(165),126.38121,34.81689,137.6
여수(168),127.74063,34.73929,222.4
완도(170),126.70182,34.3959,118.6
제주(184),126.52969,33.51411,176.1
고산(185),126.16283,33.29382,118.9
성산(188),126.880394,33.386822,127.8
서귀포(189),126.565331,33.24612,303.9
진주(192),128.11911,35.208447,92.9
강화(201),126.44634,37.70739,179.9
양평(202),127.49446,37.48863,238.6
이천(203),127.48421,37.26399,269.9
인제(211),128.16714,38.05986,176.1
홍천(212),127.88043,37.6836,238
삼척(214),129.2166667,37.36666667,103.3
태백(216),128.98929,37.17038,179.8
제천(221),128.19433,37.15928,217.3
보은(226),127.73415,36.48761,216.9
천안(232),127.1212681,36.77962166,189.9
보령(235),126.55744,36.32724,204.2
부여(236),126.92079,36.27242,195.4
금산(238),127.48175,36.10563,134.6
부안(243),126.71657,35.72961,136.2
임실(244),127.28556,35.61203,254.2
정읍(245),126.86611,35.56317,180.5
남원(247),127.33303,35.40536,176.3
장수(248),127.52031,35.65696,174.1
순천(256),127.239113,35.074982,212.5
장흥(260),126.91951,34.68886,174
해남(261),126.56907,34.55375,151.8
고흥(262),127.27571,34.61824,136.7
성산포(265),126.880394,33.386822,127.8
봉화(271),128.91449,36.94361,141.6
영주(272),128.51687,36.87183,135.2
문경(273),128.14879,36.62727,133.8
영덕(277),129.40926,36.53337,96.5
의성(278),128.68864,36.3561,61.3
구미(279),128.32055,36.13055,133.2
영천(281),128.9514,35.97742,136.1
거창(284),127.911011,35.671211,233.4
합천(285),128.16994,35.56505,104.5
밀양(288),128.74412,35.49147,53.5
산청(289),127.8791,35.413,285.8
거제(294),128.60459,34.88818,76
남해(295),127.92641,34.81662,146.3
,,,252.4
,,,127.8
