"관측지점별(1)",평균 기온 (℃),최고 기온 (℃),최저 기온 (℃)
"속초시",12.1,15.8,8.5
"철원군",10.2,16.2,4.7
"동두천시",10,16,4
"대관령",6.4,11.4,1.7
"춘천시",10.9,17.0,5.7
"백령도",10,17,5
"강릉시",12.9,17.4,8.9
"동해시",12,17,8
"강남구",12.2,16.9,8.2
"도봉구",11.7,15.9,8.3
"원주시",10.8,17.0,5.4
"울릉도",12.3,15.6,9.6
"수원시",11.6,17.0,6.8
"영월군",11,17,9
"충주시",11.2,17.5,5.8
"서산시",11.7,17.2,7.2
"울진군",12.5,17.0,8.3
"청주시",12.0,17.8,7.0
"대전",12.3,18.0,7.5
"추풍령",11.6,17.1,6.7
"안동시",11.8,18.0,6.5
"포항시남구",13.8,18.6,9.8
"군산시",12.6,16.9,9.1
"대구",13.7,19.2,9.0
"전주시덕진구",13.0,18.6,8.4
"울산",13.8,18.9,9.3
"창원시",14.8,19.4,11.0
"광주시",13.5,18.8,9.1
"부산진구",14.4,18.7,11.1
"통영시",14.3,18.6,10.7
"목포시",13.8,18.6,10.3
"여수시",14.1,17.9,11.0
"흑산도",10,17,5
"완도군",14.0,17.7,10.7
"제주시",15.5,18.7,12.4
"고산",15.5,18.2,13.1
"창원시성산구",15.2,19.0,11.3
"서귀포시",16.2,19.8,13.0
"진주시",13.1,19.2,7.8
"강화군",10.9,16.1,6.0
"양평군",10.8,17.3,5.2
"이천시",11.2,17.3,6.0
"인제군",9.9,16.3,4.4
"홍천군",10.1,17.5,4.4
"태백시",8.5,14.1,3.5
"제천시",10.1,16.6,4.3
"보은군",10.7,17.2,4.8
"천안시동남구",11.6,17.5,6.3
"보령시",12.1,17.2,7.4
"부여군",12.0,18.3,6.7
"금산군",11.4,17.9,5.8
"부안군",12.3,17.7,7.6
"임실군",10.8,17.5,5.1
"정읍시",12.8,18.5,7.7
"남원시",12.2,19.0,6.5
"장수군",10.4,16.9,4.8
"순천시",12.5,19.1,7.2
"장흥군",12.8,18.9,7.7
"해남군",13.3,18.6,8.6
"고흥군",13.5,19.3,8.2
"봉화군",10.0,17.5,3.6
"영주시",11.2,17.4,5.5
"문경시",11.9,17.8,6.7
"영덕군",12.7,18.0,7.8
"의성군",11.1,18.5,4.8
"구미시",12.2,18.4,6.7
"영천시",12.3,18.6,6.6
"거창군",11.4,18.2,5.7
"합천군",12.7,19.3,7.2
"밀양시",13.0,19.6,7.3
"산청군",12.7,19.1,7.4
"거제시",13.9,18.5,9.4
"남해군",14.0,19.1,9.5
