년,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1973,전국,12.3,7.5,17.7
1974,전국,11.3,6.4,16.8
1975,전국,12.5,8,17.7
1976,전국,11.5,6.7,17
1977,전국,12.2,7.2,18
1978,전국,12.7,7.7,18.4
1979,전국,12.5,7.6,18.1
1980,전국,11.1,6.3,16.6
1981,전국,11.3,6.3,17
1982,전국,12.3,7.2,18.2
1983,전국,12.2,7.4,17.8
1984,전국,11.7,6.7,17.4
1985,전국,12,7.4,17.3
1986,전국,11.4,6.7,17
1987,전국,12.1,7.4,17.8
1988,전국,12,7,17.8
1989,전국,12.7,8,18.3
1990,전국,12.8,8.3,18.2
1991,전국,12,7.2,17.7
1992,전국,12.2,7.4,17.8
1993,전국,11.6,6.8,17.2
1994,전국,13,7.7,18.9
1995,전국,11.7,6.6,17.7
1996,전국,11.8,6.8,17.6
1997,전국,12.4,7.2,18.4
1998,전국,13.2,8.6,18.7
1999,전국,12.5,7.6,18.1
2000,전국,12.2,7.3,17.9
2001,전국,12.4,7.4,18.2
2002,전국,12.4,7.5,17.9
2003,전국,12.2,7.7,17.5
2004,전국,12.9,7.9,18.8
2005,전국,12.1,7.2,17.6
2006,전국,12.6,7.9,18.1
2007,전국,13,8.4,18.5
2008,전국,12.7,7.8,18.4
2009,전국,12.7,7.8,18.4
2010,전국,12.4,7.7,17.7
2011,전국,12.1,7.4,17.5
2012,전국,12.1,7.4,17.4
2013,전국,12.6,7.8,18.1
2014,전국,12.8,8,18.4
2015,전국,13.1,8.3,18.7
2016,전국,13.4,8.7,18.8
2017,전국,12.8,7.7,18.5
2018,전국,12.8,7.8,18.4
2019,전국,13.3,8.3,19
2020,전국,13,8.4,18.4
2021,전국,,,
